"method","covariate","component","estimate","std.error","conf.low","conf.high","z","p.value","p.adj"
"LDA+ALR","year2020","comp1",0.233888810787768,0.121137479924045,-0.00353628704130374,0.47131390861684,1.93077164007721,0.0535112989751026,0.169298076465595
"LDA+ALR","year2021","comp1",-0.200368945487007,0.155760659144605,-0.505654227618652,0.104916336644638,-1.28638994331032,0.198307006399699,0.360558193453999
"LDA+ALR","partydemocratic","comp1",-0.58731278839305,0.187579359684385,-0.954961577617529,-0.219663999168572,-3.13100966642196,0.00174206426367733,0.0116137617578489
"LDA+ALR","candidate_typevice_president","comp1",-0.13437692719861,0.167126065328317,-0.46193799612,0.193184141722779,-0.804045299185549,0.421370813964277,0.551533127099841
"LDA+ALR","year2020","comp2",-0.000487169853301612,0.192964709353976,-0.378691050474334,0.37771671076773,-0.00252465777256682,0.99798561668187,0.99798561668187
"LDA+ALR","year2021","comp2",0.000889050237012644,0.162231557781069,-0.317078960169711,0.318857060643736,0.00548013129610957,0.995627509733326,0.99798561668187
"LDA+ALR","partydemocratic","comp2",-0.358009434148486,0.231158751499095,-0.811072261797956,0.0950533935009848,-1.5487600267208,0.121439418022039,0.269865373382308
"LDA+ALR","candidate_typevice_president","comp2",0.261395559188503,0.243499094295139,-0.215853895898092,0.738645014275098,1.07349704911704,0.283048161946385,0.438464124510051
"LDA+ALR","year2020","comp3",-0.224903233624599,0.171262135528179,-0.560570851175248,0.11076438392605,-1.31321049414098,0.189112028790936,0.360558193453999
"LDA+ALR","year2021","comp3",-0.402511657775262,0.14274383181007,-0.682284427138242,-0.122738888412282,-2.81981822031253,0.00480508611422249,0.0240254305711124
"LDA+ALR","partydemocratic","comp3",-0.334156368335648,0.17714896294137,-0.681361955599354,0.0130492189280576,-1.88630157799028,0.0592543267629582,0.169298076465595
"LDA+ALR","candidate_typevice_president","comp3",-0.216299793476253,0.202309883749304,-0.612819879341374,0.180220292388868,-1.06915089598037,0.285001680931533,0.438464124510051
"LDA+ALR","year2020","comp4",0.0965639439780176,0.106039864147281,-0.111270370676174,0.304398258632209,0.910638133635267,0.362486071083352,0.517837244404789
"LDA+ALR","year2021","comp4",-0.364866976375405,0.113837996366654,-0.587985349326249,-0.14174860342456,-3.20514229010343,0.00134995727117476,0.0116137617578489
"LDA+ALR","partydemocratic","comp4",0.280884066530696,0.133044131789702,0.0201223598684788,0.541645773192913,2.11120973734248,0.0347542882485795,0.139017152994318
"LDA+ALR","candidate_typevice_president","comp4",-0.241652909878153,0.132813761288197,-0.501963098654319,0.0186572788980125,-1.81948698338407,0.0688371669014215,0.172092917253554
"LDA+ALR","year2020","comp5",-0.0472977860823091,0.185549692819902,-0.410968501351786,0.316372929187168,-0.254906302260588,0.79879546852973,0.939759374740859
"LDA+ALR","year2021","comp5",0.0390531762103968,0.25119236357416,-0.453274809586448,0.531381162007242,0.155471192096439,0.876449863150249,0.973833181278054
"LDA+ALR","partydemocratic","comp5",-1.08069729864295,0.333364045389691,-1.73407882134732,-0.427315775938576,-3.24179320952158,0.0011878017656952,0.0116137617578489
"LDA+ALR","candidate_typevice_president","comp5",-0.255161356066593,0.331325145030596,-0.90454670749907,0.394223995365885,-0.770123728590023,0.441226501679873,0.551533127099841
