"K","perplexity","holdout_perplexity"
2,1486.36422738779,1504.65132722496
3,1460.26318393245,1474.87551825683
4,1468.09221533891,1487.18261882018
5,1485.36362786713,1498.96355481024
6,1466.06768990018,1481.37542033963
7,1493.9204909025,1508.2915455459
8,1502.2465483574,1518.54268321024
9,1535.41018459052,1546.44785311211
10,1515.31645592293,1527.03090522644
11,1519.94793006318,1533.1740076643
12,1510.97309320254,1523.50639187729
13,1521.08825753936,1533.84678755112
14,1528.12841883277,1539.85320545225
15,1521.70976103432,1534.88438634803
16,1568.80831455456,1578.23252936682
17,1562.34646369287,1573.20303700081
18,1582.5989983118,1593.68861545991
