"topic","rank","term","phi"
"Topic 1",1,"nation",0.0123286104477524
"Topic 1",2,"america",0.0111141567282042
"Topic 1",3,"world",0.0104149096752811
"Topic 1",4,"freedom",0.00842766653687062
"Topic 1",5,"stand",0.00833574109865293
"Topic 1",6,"time",0.00688201520871946
"Topic 1",7,"life",0.00598039811714469
"Topic 1",8,"faith",0.00511554292849845
"Topic 1",9,"god",0.00511554262323104
"Topic 1",10,"honor",0.00460031276060208
"Topic 1",11,"strong",0.0043795310022237
"Topic 1",12,"venezuela",0.00432432955179562
"Topic 2",1,"america",0.00869941473626231
"Topic 2",2,"family",0.00869939360167791
"Topic 2",3,"space",0.00843052947526238
"Topic 2",4,"man",0.00787694062431821
"Topic 2",5,"nation",0.00754476502311389
"Topic 2",6,"life",0.00741820890745189
"Topic 2",7,"honor",0.00672231151797105
"Topic 2",8,"force",0.00648505940101019
"Topic 2",9,"woman",0.00618453878461708
"Topic 2",10,"time",0.0061212716238193
"Topic 2",11,"stand",0.00599467088187234
"Topic 2",12,"law",0.00563090544466071
"Topic 3",1,"job",0.0141121543440588
"Topic 3",2,"time",0.00851247999709562
"Topic 3",3,"america",0.00832431989566763
"Topic 3",4,"million",0.00575780103963979
"Topic 3",5,"world",0.00503526526239776
"Topic 3",6,"business",0.00496000032419787
"Topic 3",7,"family",0.00488473363388332
"Topic 3",8,"community",0.0048395800825507
"Topic 3",9,"build",0.00478689214825099
"Topic 3",10,"economy",0.00450841134537507
"Topic 3",11,"big",0.00446325676090675
"Topic 3",12,"worker",0.00427509085139912
"Topic 4",1,"health",0.0105480072547537
"Topic 4",2,"senator",0.00862597859999336
"Topic 4",3,"act",0.00801654361506907
"Topic 4",4,"care",0.00792279795692916
"Topic 4",5,"community",0.00675083483649495
"Topic 4",6,"family",0.0061179657111323
"Topic 4",7,"school",0.00539131374233009
"Topic 4",8,"include",0.00525070159882536
"Topic 4",9,"child",0.00518035846427155
"Topic 4",10,"worker",0.00482878068468395
"Topic 4",11,"covid",0.00480533577550325
"Topic 4",12,"administration",0.00466472812133429
"Topic 5",1,"time",0.00939464109675768
"Topic 5",2,"job",0.00872035849653182
"Topic 5",3,"happen",0.0079034385367755
"Topic 5",4,"big",0.00712541976856646
"Topic 5",5,"talk",0.00665212527380971
"Topic 5",6,"china",0.00617882951262825
"Topic 5",7,"win",0.00577685417632183
"Topic 5",8,"million",0.00559531646753284
"Topic 5",9,"vote",0.00557586599497036
"Topic 5",10,"call",0.00538784402327263
"Topic 5",11,"test",0.00492751702286883
"Topic 5",12,"give",0.00485619863593766
"Topic 6",1,"order",0.0193005470333625
"Topic 6",2,"agency",0.0162813539508116
"Topic 6",3,"law",0.0136854113577045
"Topic 6",4,"section",0.011823105524912
"Topic 6",5,"secretary",0.011569154665209
"Topic 6",6,"federal",0.0112305535189378
"Topic 6",7,"include",0.00959398052642815
"Topic 6",8,"policy",0.0095657645497732
"Topic 6",9,"executive",0.00801384262936517
"Topic 6",10,"department",0.00773167453577553
"Topic 6",11,"sec",0.00747772414776967
"Topic 6",12,"national",0.00747772359808422
