"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"gscamm",0.153528997485507,0.237019188259352,0.0901851350884763,0.00441214694396576,0.78808816331856,0.722222222222222,1.70138435436409,191.469959992079,12.0617702007294,"structural","kmeans",37,TRUE,351,"baseline",1,853315193
"gscamm_boot",0.153528997485507,0.237019188259352,0.0901851350884763,0.00441214694396576,0.75437245413574,1,6.2884349409856,191.469959992079,1104.43209838867,"structural","kmeans",37,TRUE,351,"baseline",1,853315193
"lda",0.0598616277479245,0.0598616277479245,0.0598616277479245,0.00511421258073253,0.828824143858963,0.111111111111111,0.222466158972199,168.123378255778,30.6196451187134,"posterior","random_dirichlet",NA,NA,NA,"baseline",1,853315193
"stm",0.171520782011305,0.171520782011305,0.171520782011305,0.00594856470012842,1.43881258390014,0.0277777777777778,0.134517646604895,169.087869196433,26.5393030643463,"posterior","random",NA,NA,NA,"baseline",1,853315193
"gscamm",0.155162662646006,0.210459285648724,0.0937108846367786,0.00388304360982867,0.913113631734486,0.638888888888889,1.70141772225596,184.24182436892,8.81667041778564,"structural","kmeans",41,TRUE,265,"baseline",2,601901350
"gscamm_boot",0.155162662646006,0.210459285648724,0.0937108846367786,0.00388304360982867,0.823304287560785,1,6.57645056039564,184.24182436892,1061.14615774155,"structural","kmeans",41,TRUE,265,"baseline",2,601901350
"lda",0.126533498991937,0.126533498991937,0.126533498991937,0.00403228670582649,1.38626411773978,0.0416666666666667,0.281434810449871,154.57458200883,30.0065472126007,"posterior","random_dirichlet",NA,NA,NA,"baseline",2,601901350
"stm",0.0914097462238756,0.0914097462238756,0.0914097462238756,0.00502357594346881,1.42945563460844,0,0.166426842598612,159.743844593143,26.6212291717529,"posterior","random",NA,NA,NA,"baseline",2,601901350
"gscamm",0.158973811021582,0.216679177054439,0.118229494294003,0.00359365919994739,0.929247459098404,0.583333333333333,1.74695881905204,187.064320699418,8.23065209388733,"structural","kmeans",40,TRUE,255,"baseline",3,237766255
"gscamm_boot",0.158973811021582,0.216679177054439,0.118229494294003,0.00359365919994739,0.90269420198579,0.986111111111111,6.68838426654634,187.064320699418,1056.61467170715,"structural","kmeans",40,TRUE,255,"baseline",3,237766255
"lda",0.12769609022536,0.12769609022536,0.12769609022536,0.00353271394796879,1.46948070175422,0.0138888888888889,0.244020105376928,154.699888976731,39.8712947368622,"posterior","random_dirichlet",NA,NA,NA,"baseline",3,237766255
"stm",0.156108956768383,0.156108956768383,0.156108956768383,0.00603521857025035,1.40866509390075,0,0.177961738231996,162.463213251653,27.9794058799744,"posterior","random",NA,NA,NA,"baseline",3,237766255
"gscamm",0.138673308736681,0.225991398890133,0.092923364238484,0.00460335430656411,0.821656792516996,0.694444444444444,1.64281629752656,186.53076434537,8.93646025657654,"structural","kmeans",38,TRUE,334,"baseline",4,2002443372
"gscamm_boot",0.138673308736681,0.225991398890133,0.092923364238484,0.00460335430656411,0.782207011519869,1,6.12156032004601,186.53076434537,976.133026361465,"structural","kmeans",38,TRUE,334,"baseline",4,2002443372
"lda",0.156367732708037,0.156367732708037,0.156367732708037,0.00432350685767098,1.4203830226849,0.0555555555555556,0.212789070463706,159.197666346194,55.4473931789398,"posterior","random_dirichlet",NA,NA,NA,"baseline",4,2002443372
"stm",0.0949648960128198,0.0949648960128198,0.0949648960128198,0.00567321218484704,0.847464273914104,0.0972222222222222,0.137244685772184,161.995804848382,29.5059943199158,"posterior","random",NA,NA,NA,"baseline",4,2002443372
"gscamm",0.137261329911514,0.236488162690314,0.108729039359673,0.00434088179594229,0.784337121180938,0.736111111111111,1.72407594489553,210.855803094673,12.2194848060608,"structural","kmeans",38,TRUE,295,"baseline",5,1084462256
"gscamm_boot",0.137261329911514,0.236488162690314,0.108729039359673,0.00434088179594229,0.757898705215444,0.986111111111111,6.47424181597171,210.855803094673,1078.20329380035,"structural","kmeans",38,TRUE,295,"baseline",5,1084462256
"lda",0.079419754165426,0.079419754165426,0.079419754165426,0.00348496002145617,0.99431448714841,0.194444444444444,0.201575734614761,177.86987542503,45.8473134040833,"posterior","random_dirichlet",NA,NA,NA,"baseline",5,1084462256
"stm",0.143714478772261,0.143714478772261,0.143714478772261,0.00616250665919747,1.28616700571921,0.0416666666666667,0.144719389760023,187.21423532812,26.5652990341187,"posterior","random",NA,NA,NA,"baseline",5,1084462256
"gscamm",0.149615953814111,0.233550872052102,0.127845898311499,0.00417684012556779,0.799979961392816,0.763888888888889,1.79446790945263,202.255091713472,8.40997791290283,"structural","kmeans",40,TRUE,239,"baseline",6,25473311
"gscamm_boot",0.149615953814111,0.233550872052102,0.127845898311499,0.00417684012556779,0.816541935326875,1,6.93126743079774,202.255091713472,971.652952671051,"structural","kmeans",40,TRUE,239,"baseline",6,25473311
"lda",0.13534647946038,0.13534647946038,0.13534647946038,0.00474210586357338,1.13780412168694,0.111111111111111,0.226313494032137,174.877354813902,50.6982288360596,"posterior","random_dirichlet",NA,NA,NA,"baseline",6,25473311
"stm",0.120743904574107,0.120743904574107,0.120743904574107,0.00682812702207703,0.909283810801511,0.0138888888888889,0.133881389725525,181.492836441564,31.1676864624023,"posterior","random",NA,NA,NA,"baseline",6,25473311
"gscamm",0.149500676028967,0.205095572649034,0.0452322137208477,0.00336623786949081,0.781289619836539,0.819444444444444,1.89061216631336,189.844603887474,8.16847348213196,"structural","kmeans",37,TRUE,386,"baseline",7,992729402
"gscamm_boot",0.149500676028967,0.205095572649034,0.0452322137208477,0.00336623786949081,0.634479261409112,1,7.69355305215558,189.844603887474,1029.47440552711,"structural","kmeans",37,TRUE,386,"baseline",7,992729402
"lda",0.148526262804769,0.148526262804769,0.148526262804769,0.00374597173013725,1.3813692860792,0.152777777777778,0.252720418430146,163.94197517554,40.7076365947723,"posterior","random_dirichlet",NA,NA,NA,"baseline",7,992729402
"stm",0.143881440067779,0.143881440067779,0.143881440067779,0.00565383069359867,1.32879549333801,0.0138888888888889,0.144490855983574,165.541372187799,26.6143295764923,"posterior","random",NA,NA,NA,"baseline",7,992729402
"gscamm",0.168627737719909,0.214160874627463,0.10971131011797,0.0040638622066204,1.02607471748353,0.555555555555556,1.74117503605399,162.878596523489,8.41987991333008,"structural","kmeans",40,TRUE,258,"baseline",8,660691800
"gscamm_boot",0.168627737719909,0.214160874627463,0.10971131011797,0.0040638622066204,0.948604464934234,1,6.7073654900696,162.878596523489,983.722896099091,"structural","kmeans",40,TRUE,258,"baseline",8,660691800
"lda",0.10368572383453,0.10368572383453,0.10368572383453,0.00371121094278946,1.3444897331225,0.111111111111111,0.299450120406594,136.58846628139,51.8554918766022,"posterior","random_dirichlet",NA,NA,NA,"baseline",8,660691800
"stm",0.120904260784703,0.120904260784703,0.120904260784703,0.00565752559810269,1.13129085653183,0.0833333333333333,0.192047450222648,140.146502994586,26.9113025665283,"posterior","random",NA,NA,NA,"baseline",8,660691800
"gscamm",0.146222874113368,0.21189464377826,0.0698700739105896,0.00425965996085142,0.813762051556035,0.805555555555556,1.8308812011805,185.0001774488,11.9211452007294,"structural","kmeans",45,TRUE,382,"baseline",9,194117711
"gscamm_boot",0.146222874113368,0.21189464377826,0.0698700739105896,0.00425965996085142,0.721583646932611,1,7.24499556599782,185.0001774488,1044.14846229553,"structural","kmeans",45,TRUE,382,"baseline",9,194117711
"lda",0.112214923061026,0.112214923061026,0.112214923061026,0.00522686539972976,0.917180753415445,0.277777777777778,0.279109729313643,166.528077780287,34.8748414516449,"posterior","random_dirichlet",NA,NA,NA,"baseline",9,194117711
"stm",0.12698561491302,0.12698561491302,0.12698561491302,0.00779132123602222,0.782389541427675,0.0555555555555556,0.212876105821179,167.054770633234,25.3865847587585,"posterior","random",NA,NA,NA,"baseline",9,194117711
"gscamm",0.123307143498112,0.222226915428233,0.101633269153338,0.00402778884829501,0.597345396862422,0.875,1.89575136291242,221.109600577762,13.87269115448,"structural","kmeans",78,TRUE,386,"baseline",10,1364984942
"gscamm_boot",0.123307143498112,0.222226915428233,0.101633269153338,0.00402778884829501,0.611853953175836,1,7.63059126486017,221.109600577762,917.533420324326,"structural","kmeans",78,TRUE,386,"baseline",10,1364984942
"lda",0.0741654285951883,0.0741654285951883,0.0741654285951883,0.00320964273755211,0.77870975205333,0.194444444444444,0.213800909864741,191.974189231266,84.7924468517303,"posterior","random_dirichlet",NA,NA,NA,"baseline",10,1364984942
"stm",0.0599273857259689,0.0599273857259689,0.0599273857259689,0.00454910634751859,0.864666424087116,0.0416666666666667,0.112095265397206,196.922222745222,33.0535175800323,"posterior","random",NA,NA,NA,"baseline",10,1364984942
"gscamm",0.135674017447254,0.201596173405913,0.0576422839831267,0.00377310679379324,0.757080304414379,0.763888888888889,1.85328726307366,192.970943882361,8.40612268447876,"structural","kmeans",39,TRUE,322,"baseline",11,1466980332
"gscamm_boot",0.135674017447254,0.201596173405913,0.0576422839831267,0.00377310679379324,0.626590304175941,1,7.55110504547556,192.970943882361,998.954044818878,"structural","kmeans",39,TRUE,322,"baseline",11,1466980332
"lda",0.114565330080675,0.114565330080675,0.114565330080675,0.00426281876516711,1.02372702416021,0.0138888888888889,0.213510345878463,163.16273106054,56.013190984726,"posterior","random_dirichlet",NA,NA,NA,"baseline",11,1466980332
"stm",0.135811372563762,0.135811372563762,0.135811372563762,0.00590833908740419,1.35522751685417,0.0416666666666667,0.156218883709958,166.782149841591,26.8174297809601,"posterior","random",NA,NA,NA,"baseline",11,1466980332
"gscamm",0.160718149646539,0.238763334499182,0.13566521286201,0.00458400345634396,0.957089504610618,0.694444444444444,1.76308435812949,184.150480066274,8.63708448410034,"structural","kmeans",42,TRUE,274,"baseline",12,998838198
"gscamm_boot",0.160718149646539,0.238763334499182,0.13566521286201,0.00458400345634396,1.00578821917403,0.986111111111111,6.81160806211128,184.150480066274,829.796169757843,"structural","kmeans",42,TRUE,274,"baseline",12,998838198
"lda",0.109652219740355,0.109652219740355,0.109652219740355,0.00491035427298949,1.08880325274417,0.0138888888888889,0.230947917518906,158.212770558932,39.7004449367523,"posterior","random_dirichlet",NA,NA,NA,"baseline",12,998838198
"stm",0.0672902445483755,0.0672902445483755,0.0672902445483755,0.00415853938064474,0.5401689843795,0.138888888888889,0.188459075280087,158.143770397259,30.9563517570496,"posterior","random",NA,NA,NA,"baseline",12,998838198
"gscamm",0.142583135001146,0.217983398470498,0.0807477132959412,0.00411592036068252,0.837477014692067,0.694444444444444,1.69499978071205,196.95428439046,9.49646806716919,"structural","kmeans",37,TRUE,262,"baseline",13,1771122558
"gscamm_boot",0.142583135001146,0.217983398470498,0.0807477132959412,0.00411592036068252,0.778184382046411,0.986111111111111,6.21835472945294,196.95428439046,1033.35490083694,"structural","kmeans",37,TRUE,262,"baseline",13,1771122558
"lda",0.070075346447117,0.070075346447117,0.070075346447117,0.00346540415031964,0.842310958370164,0.0555555555555556,0.234393233964243,165.828571610146,37.6966252326965,"posterior","random_dirichlet",NA,NA,NA,"baseline",13,1771122558
"stm",0.0717345415088796,0.0717345415088796,0.0717345415088796,0.00519615969199367,1.13703713673011,0.0416666666666667,0.136083521941024,170.346016064837,25.8638308048248,"posterior","random",NA,NA,NA,"baseline",13,1771122558
"gscamm",0.138465499265513,0.229041324980033,0.105353037788444,0.00450316889600257,0.819474233238835,0.791666666666667,1.7567272174515,196.836277943118,8.29483366012573,"structural","kmeans",40,TRUE,313,"baseline",14,1763779549
"gscamm_boot",0.138465499265513,0.229041324980033,0.105353037788444,0.00450316889600257,0.844236823861754,0.986111111111111,6.83769583199115,196.836277943118,1022.70924711227,"structural","kmeans",40,TRUE,313,"baseline",14,1763779549
"lda",0.115566116235535,0.115566116235535,0.115566116235535,0.00439802065561335,1.07391430376264,0.0833333333333333,0.211590594106837,171.04573980307,46.2589383125305,"posterior","random_dirichlet",NA,NA,NA,"baseline",14,1763779549
"stm",0.144811219460506,0.144811219460506,0.144811219460506,0.00754478823953125,1.09344059947201,0.0138888888888889,0.122140902312099,176.855896433387,26.9670684337616,"posterior","random",NA,NA,NA,"baseline",14,1763779549
"gscamm",0.151897687197733,0.209443592016969,0.0981179749617097,0.00412144875097847,0.90664071803834,0.694444444444444,1.697271935063,179.685000439609,12.5304970741272,"structural","kmeans",40,TRUE,254,"baseline",15,23370252
"gscamm_boot",0.151897687197733,0.209443592016969,0.0981179749617097,0.00412144875097847,0.836996923938323,1,6.33733351386304,179.685000439609,1003.13675951958,"structural","kmeans",40,TRUE,254,"baseline",15,23370252
"lda",0.122380021488808,0.122380021488808,0.122380021488808,0.00347843763245117,1.08638287770179,0,0.241227834846087,151.203233047559,40.7196097373962,"posterior","random_dirichlet",NA,NA,NA,"baseline",15,23370252
"stm",0.0911015096355759,0.0911015096355759,0.0911015096355759,0.00444899324256266,0.857454926284409,0.111111111111111,0.154180095478009,152.079289227441,26.9285008907318,"posterior","random",NA,NA,NA,"baseline",15,23370252
"gscamm",0.13813717181892,0.196837541726,0.05347090574959,0.00373161336780974,0.791444322816909,0.736111111111111,1.75555578691323,191.844241682981,12.0850665569305,"structural","kmeans",39,TRUE,316,"baseline",16,1765223653
"gscamm_boot",0.13813717181892,0.196837541726,0.05347090574959,0.00373161336780974,0.662245657130274,1,6.74680843855888,191.844241682981,1015.97137498856,"structural","kmeans",39,TRUE,316,"baseline",16,1765223653
"lda",0.11303581520229,0.11303581520229,0.11303581520229,0.00450858927370405,1.15559208784616,0.0416666666666667,0.257171408736644,163.566959181544,72.0511221885681,"posterior","random_dirichlet",NA,NA,NA,"baseline",16,1765223653
"stm",0.156078491896128,0.156078491896128,0.156078491896128,0.00626322215703112,1.40412422685379,0.0416666666666667,0.163231826744774,170.658591273632,25.3861467838287,"posterior","random",NA,NA,NA,"baseline",16,1765223653
"gscamm",0.158839694521907,0.221671343681648,0.140467327937999,0.00445729630848849,0.968913664278739,0.625,1.70740796924102,173.103078494253,12.4951074123383,"structural","kmeans",42,TRUE,242,"baseline",17,992936995
"gscamm_boot",0.158839694521907,0.221671343681648,0.140467327937999,0.00445729630848849,0.942924523073327,1,6.51347132606238,173.103078494253,987.437575340271,"structural","kmeans",42,TRUE,242,"baseline",17,992936995
"lda",0.162719607477118,0.162719607477118,0.162719607477118,0.00558815373225631,1.64943913262097,0.0694444444444444,0.286984755690982,148.2460946824,39.6112506389618,"posterior","random_dirichlet",NA,NA,NA,"baseline",17,992936995
"stm",0.102375144508116,0.102375144508116,0.102375144508116,0.0070226263851167,0.939072789071591,0.236111111111111,0.154554946398349,149.83808530472,28.840674161911,"posterior","random",NA,NA,NA,"baseline",17,992936995
"gscamm",0.139036363417657,0.242191012832454,0.132908117706595,0.00445825972274029,0.752027021732158,0.791666666666667,1.81123602666964,213.03569713904,8.63868713378906,"structural","kmeans",41,TRUE,273,"baseline",18,369847555
"gscamm_boot",0.139036363417657,0.242191012832454,0.132908117706595,0.00445825972274029,0.849513911066434,0.986111111111111,7.34188441376887,213.03569713904,1019.15426492691,"structural","kmeans",41,TRUE,273,"baseline",18,369847555
"lda",0.0890135578195828,0.0890135578195828,0.0890135578195828,0.00400747644021963,0.906819393822876,0,0.202198106641035,183.689219291701,43.6018855571747,"posterior","random_dirichlet",NA,NA,NA,"baseline",18,369847555
"stm",0.110060815103271,0.110060815103271,0.110060815103271,0.00683941975333449,0.97063559224609,0.0138888888888889,0.113614103615639,188.042666951481,27.5040533542633,"posterior","random",NA,NA,NA,"baseline",18,369847555
"gscamm",0.135265517482048,0.196837779665396,0.0854222435456771,0.0039544276189767,0.920961922877407,0.638888888888889,1.6455339898269,193.088703123146,12.689683675766,"structural","kmeans",47,TRUE,243,"baseline",19,904034858
