"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"gscamm",0.153528997485507,0.237019188259352,0.153528997485507,0.00441214694396576,0.78808816331856,0.722222222222222,1.70138435436409,191.469959992079,1.96557831764221,"structural","kmeans",37,TRUE,NA,"baseline",1,853315193
"gscamm_boot",0.153528997485507,0.237019188259352,0.153528997485507,0.00441214694396576,0.844167223088901,1,21.2949148747333,191.469959992079,1045.92807650566,"structural","kmeans",37,TRUE,NA,"baseline",1,853315193
"lda",0.0598616277479245,0.0598616277479245,0.0598616277479245,0.00511421258073253,0.828824143858963,0.111111111111111,0.222466158972199,168.123378255778,30.9299638271332,"posterior","random_dirichlet",NA,NA,NA,"baseline",1,853315193
"stm",0.031156887615667,0.031156887615667,0.031156887615667,0.00364206369251023,0.729386241427396,0.0416666666666667,0.156777828692776,165.124322705057,8.51880478858948,"posterior","spectral",NA,NA,NA,"baseline",1,853315193
"gscamm",0.155162662646006,0.210459285648724,0.155162662646006,0.00388304360982867,0.913113631734486,0.638888888888889,1.70141772225596,184.24182436892,2.23008942604065,"structural","kmeans",41,TRUE,NA,"baseline",2,601901350
"gscamm_boot",0.155162662646006,0.210459285648724,0.155162662646006,0.00388304360982867,0.868434437771744,1,21.6659404490371,184.24182436892,937.915840625763,"structural","kmeans",41,TRUE,NA,"baseline",2,601901350
"lda",0.126533498991937,0.126533498991937,0.126533498991937,0.00403228670582649,1.38626411773978,0.0416666666666667,0.281434810449871,154.57458200883,45.6910665035248,"posterior","random_dirichlet",NA,NA,NA,"baseline",2,601901350
"stm",0.0442762108191831,0.0442762108191831,0.0442762108191831,0.00319174620213413,0.680725000428207,0.208333333333333,0.177797853065806,153.883910486155,7.97142148017883,"posterior","spectral",NA,NA,NA,"baseline",2,601901350
"gscamm",0.158973811021582,0.216679177054439,0.158973811021582,0.00359365919994739,0.929247459098404,0.583333333333333,1.74695881905204,187.064320699418,2.02258396148682,"structural","kmeans",40,TRUE,NA,"baseline",3,237766255
"gscamm_boot",0.158973811021582,0.216679177054439,0.158973811021582,0.00359365919994739,0.913008735312601,1,22.8889724035462,187.064320699418,890.274515867233,"structural","kmeans",40,TRUE,NA,"baseline",3,237766255
