"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"gscamm",0.153528997485507,0.237019188259352,0.0901851350884763,0.00441214694396576,0.78808816331856,0.722222222222222,1.70138435436409,191.469959992079,8.33130073547363,"structural","kmeans",37,TRUE,351,"baseline",1,853315193
"gscamm_boot",0.153528997485507,0.237019188259352,0.0901851350884763,0.00441214694396576,0.75437245413574,1,6.2884349409856,191.469959992079,1010.06865048408,"structural","kmeans",37,TRUE,351,"baseline",1,853315193
"lda",0.0598616277479245,0.0598616277479245,0.0598616277479245,0.00511421258073253,0.828824143858963,0.111111111111111,0.222466158972199,168.123378255778,34.0562255382538,"posterior","random_dirichlet",NA,NA,NA,"baseline",1,853315193
"stm",0.031156887615667,0.031156887615667,0.031156887615667,0.00364206369251023,0.729386241427396,0.0416666666666667,0.156777828692776,165.124322705057,8.33918786048889,"posterior","spectral",NA,NA,NA,"baseline",1,853315193
NA,0.156753252463903,0.156753252463903,0.156753252463903,0.00689865619745381,1.17659374208523,0.0972222222222222,0.140008558905859,170.793992463552,28.1056823730469,"posterior","random",NA,NA,NA,"baseline",1,853315193
"gscamm",0.155162662646006,0.210459285648724,0.0937108846367786,0.00388304360982867,0.913113631734486,0.638888888888889,1.70141772225596,184.24182436892,10.2160923480988,"structural","kmeans",41,TRUE,265,"baseline",2,601901350
"gscamm_boot",0.155162662646006,0.210459285648724,0.0937108846367786,0.00388304360982867,0.823304287560785,1,6.57645056039564,184.24182436892,1016.37919664383,"structural","kmeans",41,TRUE,265,"baseline",2,601901350
"lda",0.126533498991937,0.126533498991937,0.126533498991937,0.00403228670582649,1.38626411773978,0.0416666666666667,0.281434810449871,154.57458200883,32.3661282062531,"posterior","random_dirichlet",NA,NA,NA,"baseline",2,601901350
"stm",0.0442762108191831,0.0442762108191831,0.0442762108191831,0.00319174620213413,0.680725000428207,0.208333333333333,0.177797853065806,153.883910486155,6.45413374900818,"posterior","spectral",NA,NA,NA,"baseline",2,601901350
NA,0.105508451020282,0.105508451020282,0.105508451020282,0.00617557141144239,0.768498724218817,0.138888888888889,0.151363396140624,159.911830852737,27.0457365512848,"posterior","random",NA,NA,NA,"baseline",2,601901350
"gscamm",0.158973811021582,0.216679177054439,0.118229494294003,0.00359365919994739,0.929247459098404,0.583333333333333,1.74695881905204,187.064320699418,12.5385055541992,"structural","kmeans",40,TRUE,255,"baseline",3,237766255
"gscamm_boot",0.158973811021582,0.216679177054439,0.118229494294003,0.00359365919994739,0.90269420198579,0.986111111111111,6.68838426654634,187.064320699418,1070.98083901405,"structural","kmeans",40,TRUE,255,"baseline",3,237766255
"lda",0.12769609022536,0.12769609022536,0.12769609022536,0.00353271394796879,1.46948070175422,0.0138888888888889,0.244020105376928,154.699888976731,39.883234500885,"posterior","random_dirichlet",NA,NA,NA,"baseline",3,237766255
"stm",0.0818833903649639,0.0818833903649639,0.0818833903649639,0.00378241812979427,1.30480848204396,0.0833333333333333,0.190409832452426,154.346804423699,6.62479829788208,"posterior","spectral",NA,NA,NA,"baseline",3,237766255
NA,0.0900304954037237,0.0900304954037237,0.0900304954037237,0.00535126305214787,1.16080440976535,0.0138888888888889,0.1912196152961,156.70382519779,24.4309034347534,"posterior","random",NA,NA,NA,"baseline",3,237766255
"gscamm",0.138673308736681,0.225991398890133,0.092923364238484,0.00460335430656411,0.821656792516996,0.694444444444444,1.64281629752656,186.53076434537,8.58665895462036,"structural","kmeans",38,TRUE,334,"baseline",4,2002443372
"gscamm_boot",0.138673308736681,0.225991398890133,0.092923364238484,0.00460335430656411,0.782207011519869,1,6.12156032004601,186.53076434537,855.407883167267,"structural","kmeans",38,TRUE,334,"baseline",4,2002443372
"lda",0.156367732708037,0.156367732708037,0.156367732708037,0.00432350685767098,1.4203830226849,0.0555555555555556,0.212789070463706,159.197666346194,63.1126651763916,"posterior","random_dirichlet",NA,NA,NA,"baseline",4,2002443372
"stm",0.03966580787177,0.03966580787177,0.03966580787177,0.00347230707688968,0.770610491183923,0.125,0.158264324991288,158.356030408799,9.52768778800964,"posterior","spectral",NA,NA,NA,"baseline",4,2002443372
NA,0.164182706701005,0.164182706701005,0.164182706701005,0.00772618042990275,1.5480106030959,0.0694444444444444,0.141267709585353,171.617931676172,32.0750107765198,"posterior","random",NA,NA,NA,"baseline",4,2002443372
"gscamm",0.137261329911514,0.236488162690314,0.108729039359673,0.00434088179594229,0.784337121180938,0.736111111111111,1.72407594489553,210.855803094673,8.17464160919189,"structural","kmeans",38,TRUE,295,"baseline",5,1084462256
"gscamm_boot",0.137261329911514,0.236488162690314,0.108729039359673,0.00434088179594229,0.757898705215444,0.986111111111111,6.47424181597171,210.855803094673,830.138038158417,"structural","kmeans",38,TRUE,295,"baseline",5,1084462256
"lda",0.079419754165426,0.079419754165426,0.079419754165426,0.00348496002145617,0.99431448714841,0.194444444444444,0.201575734614761,177.86987542503,63.1035404205322,"posterior","random_dirichlet",NA,NA,NA,"baseline",5,1084462256
"stm",0.0112991218459674,0.0112991218459674,0.0112991218459674,0.000487823560304162,0.0944563955869612,0.5,0.11647449141203,177.819081294361,14.1120347976685,"posterior","spectral",NA,NA,NA,"baseline",5,1084462256
NA,0.114522270989858,0.114522270989858,0.114522270989858,0.00536594935541186,1.1792420946215,0.0555555555555556,0.129271274881202,184.707521325897,51.9723165035248,"posterior","random",NA,NA,NA,"baseline",5,1084462256
"gscamm",0.149615953814111,0.233550872052102,0.127845898311499,0.00417684012556779,0.799979961392816,0.763888888888889,1.79446790945263,202.255091713472,12.4666204452515,"structural","kmeans",40,TRUE,239,"baseline",6,25473311
"gscamm_boot",0.149615953814111,0.233550872052102,0.127845898311499,0.00417684012556779,0.816541935326875,1,6.93126743079774,202.255091713472,1035.30175232887,"structural","kmeans",40,TRUE,239,"baseline",6,25473311
"lda",0.13534647946038,0.13534647946038,0.13534647946038,0.00474210586357338,1.13780412168694,0.111111111111111,0.226313494032137,174.877354813902,42.7265336513519,"posterior","random_dirichlet",NA,NA,NA,"baseline",6,25473311
"stm",0.0112819197357571,0.0112819197357571,0.0112819197357571,0.000749838499668733,0.110078860547195,0.416666666666667,0.109680630976805,169.57432883075,9.63577675819397,"posterior","spectral",NA,NA,NA,"baseline",6,25473311
NA,0.0951304721427707,0.0951304721427707,0.0951304721427707,0.00488459168942728,0.776476555339858,0.0277777777777778,0.132166567849391,172.248011037699,26.3803882598877,"posterior","random",NA,NA,NA,"baseline",6,25473311
"gscamm",0.149500676028967,0.205095572649034,0.0452322137208477,0.00336623786949081,0.781289619836539,0.819444444444444,1.89061216631336,189.844603887474,11.4514973163605,"structural","kmeans",37,TRUE,386,"baseline",7,992729402
"gscamm_boot",0.149500676028967,0.205095572649034,0.0452322137208477,0.00336623786949081,0.634479261409112,1,7.69355305215558,189.844603887474,995.872547626495,"structural","kmeans",37,TRUE,386,"baseline",7,992729402
"lda",0.148526262804769,0.148526262804769,0.148526262804769,0.00374597173013725,1.3813692860792,0.152777777777778,0.252720418430146,163.94197517554,44.2330729961395,"posterior","random_dirichlet",NA,NA,NA,"baseline",7,992729402
"stm",0.0375063256811901,0.0375063256811901,0.0375063256811901,0.00307461433403166,0.873625620924324,0.0277777777777778,0.175495508262812,163.732897273315,9.12299466133118,"posterior","spectral",NA,NA,NA,"baseline",7,992729402
NA,0.143321941017061,0.143321941017061,0.143321941017061,0.00587731770996967,1.40544798383679,0.0138888888888889,0.135559195731673,166.941500302987,27.3494017124176,"posterior","random",NA,NA,NA,"baseline",7,992729402
"gscamm",0.168627737719909,0.214160874627463,0.10971131011797,0.0040638622066204,1.02607471748353,0.555555555555556,1.74117503605399,162.878596523489,8.25023913383484,"structural","kmeans",40,TRUE,258,"baseline",8,660691800
"gscamm_boot",0.168627737719909,0.214160874627463,0.10971131011797,0.0040638622066204,0.948604464934234,1,6.7073654900696,162.878596523489,987.502345085144,"structural","kmeans",40,TRUE,258,"baseline",8,660691800
"lda",0.10368572383453,0.10368572383453,0.10368572383453,0.00371121094278946,1.3444897331225,0.111111111111111,0.299450120406594,136.58846628139,53.2324676513672,"posterior","random_dirichlet",NA,NA,NA,"baseline",8,660691800
"stm",0.00824771329159711,0.00824771329159711,0.00824771329159711,0.000723122889241292,0.129748355002593,0.472222222222222,0.162515981119891,136.644705672398,7.57855010032654,"posterior","spectral",NA,NA,NA,"baseline",8,660691800
NA,0.110159206861321,0.110159206861321,0.110159206861321,0.0057801682448053,1.81115246267773,0.0694444444444444,0.19191960039497,139.982608082632,25.7954125404358,"posterior","random",NA,NA,NA,"baseline",8,660691800
"gscamm",0.146222874113368,0.21189464377826,0.0698700739105896,0.00425965996085142,0.813762051556035,0.805555555555556,1.8308812011805,185.0001774488,11.7393753528595,"structural","kmeans",45,TRUE,382,"baseline",9,194117711
"gscamm_boot",0.146222874113368,0.21189464377826,0.0698700739105896,0.00425965996085142,0.721583646932611,1,7.24499556599782,185.0001774488,1055.01772809029,"structural","kmeans",45,TRUE,382,"baseline",9,194117711
"lda",0.112214923061026,0.112214923061026,0.112214923061026,0.00522686539972976,0.917180753415445,0.277777777777778,0.279109729313643,166.528077780287,34.8427698612213,"posterior","random_dirichlet",NA,NA,NA,"baseline",9,194117711
"stm",0.0323019339521473,0.0323019339521473,0.0323019339521473,0.00355418256203781,0.528797353476992,0.0416666666666667,0.16917322782648,159.026118636028,5.4492871761322,"posterior","spectral",NA,NA,NA,"baseline",9,194117711
NA,0.0984042146549562,0.0984042146549562,0.0984042146549562,0.00623484694445756,0.606719104697147,0.166666666666667,0.183334851937666,162.616077002963,26.8553977012634,"posterior","random",NA,NA,NA,"baseline",9,194117711
"gscamm",0.123307143498112,0.222226915428233,0.101633269153338,0.00402778884829501,0.597345396862422,0.875,1.89575136291242,221.109600577762,13.6783483028412,"structural","kmeans",78,TRUE,386,"baseline",10,1364984942
"gscamm_boot",0.123307143498112,0.222226915428233,0.101633269153338,0.00402778884829501,0.611853953175836,1,7.63059126486017,221.109600577762,884.240830421448,"structural","kmeans",78,TRUE,386,"baseline",10,1364984942
"lda",0.0741654285951883,0.0741654285951883,0.0741654285951883,0.00320964273755211,0.77870975205333,0.194444444444444,0.213800909864741,191.974189231266,84.316563129425,"posterior","random_dirichlet",NA,NA,NA,"baseline",10,1364984942
"stm",0.012197794620182,0.012197794620182,0.012197794620182,0.000845055801885918,0.0881361219466747,0.5,0.106701384481118,191.174121671781,8.92098426818848,"posterior","spectral",NA,NA,NA,"baseline",10,1364984942
NA,0.105377794103884,0.105377794103884,0.105377794103884,0.00645386609489212,0.855182422990196,0.0138888888888889,0.112383648547686,199.248078229505,33.9210245609283,"posterior","random",NA,NA,NA,"baseline",10,1364984942
"gscamm",0.135674017447254,0.201596173405913,0.0576422839831267,0.00377310679379324,0.757080304414379,0.763888888888889,1.85328726307366,192.970943882361,12.1947741508484,"structural","kmeans",39,TRUE,322,"baseline",11,1466980332
"gscamm_boot",0.135674017447254,0.201596173405913,0.0576422839831267,0.00377310679379324,0.626590304175941,1,7.55110504547556,192.970943882361,999.825461626053,"structural","kmeans",39,TRUE,322,"baseline",11,1466980332
"lda",0.114565330080675,0.114565330080675,0.114565330080675,0.00426281876516711,1.02372702416021,0.0138888888888889,0.213510345878463,163.16273106054,57.6695742607117,"posterior","random_dirichlet",NA,NA,NA,"baseline",11,1466980332
"stm",0.117985661092667,0.117985661092667,0.117985661092667,0.00343769550422392,1.12230847384481,0.111111111111111,0.166697382266281,162.205413064507,7.51760339736938,"posterior","spectral",NA,NA,NA,"baseline",11,1466980332
NA,0.152886805399846,0.152886805399846,0.152886805399846,0.00458178787692358,1.55636485000378,0,0.166887448473238,166.045124289653,26.1288576126099,"posterior","random",NA,NA,NA,"baseline",11,1466980332
"gscamm",0.160718149646539,0.238763334499182,0.13566521286201,0.00458400345634396,0.957089504610618,0.694444444444444,1.76308435812949,184.150480066274,10.6256060600281,"structural","kmeans",42,TRUE,274,"baseline",12,998838198
"gscamm_boot",0.160718149646539,0.238763334499182,0.13566521286201,0.00458400345634396,1.00578821917403,0.986111111111111,6.81160806211128,184.150480066274,989.235324144363,"structural","kmeans",42,TRUE,274,"baseline",12,998838198
"lda",0.109652219740355,0.109652219740355,0.109652219740355,0.00491035427298949,1.08880325274417,0.0138888888888889,0.230947917518906,158.212770558932,37.2593586444855,"posterior","random_dirichlet",NA,NA,NA,"baseline",12,998838198
"stm",0.051213941255264,0.051213941255264,0.051213941255264,0.00379674803883491,0.837838681148438,0,0.153716054776848,154.622855928491,6.87066102027893,"posterior","spectral",NA,NA,NA,"baseline",12,998838198
NA,0.122839046302476,0.122839046302476,0.122839046302476,0.00717843259263079,1.06715062870216,0.0833333333333333,0.183678455876255,165.014273390976,28.1674942970276,"posterior","random",NA,NA,NA,"baseline",12,998838198
"gscamm",0.142583135001146,0.217983398470498,0.0807477132959412,0.00411592036068252,0.837477014692067,0.694444444444444,1.69499978071205,196.95428439046,8.48620104789734,"structural","kmeans",37,TRUE,262,"baseline",13,1771122558
"gscamm_boot",0.142583135001146,0.217983398470498,0.0807477132959412,0.00411592036068252,0.778184382046411,0.986111111111111,6.21835472945294,196.95428439046,1074.38830566406,"structural","kmeans",37,TRUE,262,"baseline",13,1771122558
