"method","rmse_theta","rmse_theta_R","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","scenario","replicate","seed"
"gscamm",0.14923520360224,0.35768045121552,0.0166439166261424,0.995057237887106,0.9375,3.90547918922807,57.3484209544927,0.206707000732422,"baseline",1,853315193
"gscamm_boot",0.14923520360224,0.35768045121552,0.0166439166261424,1.4733349618974,1,8.86943702580296,57.3484209544927,7.30322813987732,"baseline",1,853315193
"lda",0.283369204069426,0.283369204069426,0.0198153058085475,1.55581558989915,0,0.246474548837575,55.2207318310263,10.4754741191864,"baseline",1,853315193
"stm",0.0447480578255736,0.0447480578255736,0.00499539372132848,0.260177181411883,0.0625,0.110599701445848,54.7023771449612,2.19917488098145,"baseline",1,853315193
"gscamm",0.147812004068505,0.32451425682114,0.0135041357607075,0.748731207642824,1,3.48828672599795,58.2357363787765,0.196792840957642,"baseline",2,601901350
"gscamm_boot",0.147812004068505,0.32451425682114,0.0135041357607075,1.26801896609765,0.875,7.06021845108821,58.2357363787765,7.23573994636536,"baseline",2,601901350
"lda",0.228959486262381,0.228959486262381,0.0132206514029898,1.49630210647662,0.125,0.246073292282064,53.3470925554269,8.11687684059143,"baseline",2,601901350
"stm",0.0302367725826778,0.0302367725826778,0.00245460570319293,0.0781132186722454,0.5,0.11139965153323,53.3718418968121,1.72498297691345,"baseline",2,601901350
"gscamm",0.130867520584726,0.317355348143079,0.0130803205778084,0.738865172556023,1,3.42260823899228,59.1188885676673,0.190047979354858,"baseline",3,237766255
"gscamm_boot",0.130867520584726,0.317355348143079,0.0130803205778084,1.36277358561079,0.8125,6.56008515945739,59.1188885676673,8.30211210250854,"baseline",3,237766255
"lda",0.135678989280705,0.135678989280705,0.0167429075889328,1.18340955905393,0.1875,0.172593623688422,54.85439777856,8.34033799171448,"baseline",3,237766255
"stm",0.0960433511592379,0.0960433511592379,0.0102807640998715,0.730085750047236,0.375,0.341005960070106,54.8258462518973,1.21232795715332,"baseline",3,237766255
"gscamm",0.145456075834913,0.328420793186795,0.0132664407391293,0.867088996015148,0.9375,3.47956469764825,51.3836285189139,0.240724086761475,"baseline",4,2002443372
"gscamm_boot",0.145456075834913,0.328420793186795,0.0132664407391293,1.16873612404886,1,7.77761494415126,51.3836285189139,8.85401678085327,"baseline",4,2002443372
"lda",0.134968638043554,0.134968638043554,0.0130159761337311,0.994450388882907,0.125,0.345351293095528,47.9081260887785,11.6335740089417,"baseline",4,2002443372
"stm",0.115141941463144,0.115141941463144,0.0142709319686392,1.08664978372579,0.125,0.159682991845593,47.9442163918576,1.96288895606995,"baseline",4,2002443372
"gscamm",0.195345244159379,0.356937762440517,0.0163683557011698,1.11079619627547,0.875,3.55735127258068,58.0922853529239,0.235115051269531,"baseline",5,1084462256
"gscamm_boot",0.195345244159379,0.356937762440517,0.0163683557011698,1.74387668732213,0.875,8.05161447992387,58.0922853529239,9.25971007347107,"baseline",5,1084462256
"lda",0.211600822003868,0.211600822003868,0.0171642701205789,1.3674286556011,0,0.237838486127858,52.4229853117844,6.55092096328735,"baseline",5,1084462256
"stm",0.138599956593102,0.138599956593102,0.0183691551914582,1.01688194003618,0,0.154979665281364,52.4647182969206,2.54142308235168,"baseline",5,1084462256
"gscamm",0.12511568502989,0.348928269275508,0.0160041195563441,0.62637207939559,1,3.67773060433274,61.8578199266121,0.237771034240723,"high_covariate",1,853315193
"gscamm_boot",0.12511568502989,0.348928269275508,0.0160041195563441,1.16129047999539,1,8.13282877559381,61.8578199266121,9.78070211410522,"high_covariate",1,853315193
"lda",0.0627763498492565,0.0627763498492565,0.00576691519981833,0.119956592456735,0.75,0.261029332436466,57.9074876757089,10.936539888382,"high_covariate",1,853315193
"stm",0.0320223270353017,0.0320223270353017,0.00276574304953703,0.067835047268992,0.8125,0.181842046755264,57.9157613168079,2.84832215309143,"high_covariate",1,853315193
"gscamm",0.214637930349955,0.367930426154182,0.0145353828864885,1.04188058689447,0.875,3.39797145927945,55.7349663867112,0.259006977081299,"high_covariate",2,601901350
