"condition","method","RMSE_theta_mean","RMSE_theta_sd","RMSE_theta_R_mean","RMSE_theta_map_mean","RMSE_theta_map_sd","RMSE_phi_mean","RMSE_B_mean","RMSE_B_sd","coverage_B_mean","perplexity_mean","time_sec_mean","time_sec_sd"
"baseline","gscamm",0.145,0.012,0.214,0.096,0.028,0.004,0.824,0.094,0.703,192.814,10.88,2.13
"baseline","gscamm_boot",0.145,0.012,0.214,0.096,0.028,0.004,0.771,0.127,0.997,192.814,957.02,111.49
"baseline","lda",0.103,0.032,0.103,0.103,0.032,0.004,1.03,0.28,0.108,164.186,46.23,12.11
"baseline","stm",0.117,0.03,0.117,0.117,0.03,0.006,1.117,0.22,0.054,168.34,29.35,4.75
"high_covariate","gscamm",0.147,0.011,0.21,0.089,0.029,0.004,0.818,0.094,0.701,191.216,10.67,2.13
"high_covariate","gscamm_boot",0.147,0.011,0.21,0.089,0.029,0.004,0.757,0.123,0.998,191.216,955.15,112.44
"high_covariate","lda",0.104,0.033,0.104,0.104,0.033,0.004,0.951,0.229,0.144,160.585,44.72,11.19
"high_covariate","stm",0.115,0.032,0.115,0.115,0.032,0.006,1.053,0.246,0.099,165.568,28.44,5.24
"high_sparsity","gscamm",0.154,0.012,0.223,0.118,0.016,0.005,0.843,0.105,0.635,162.942,4.98,1.46
"high_sparsity","gscamm_boot",0.154,0.012,0.223,0.118,0.016,0.005,0.807,0.172,0.989,162.942,635.33,74.84
"high_sparsity","lda",0.156,0.023,0.156,0.156,0.023,0.004,0.905,0.18,0.299,134.451,2.4,0.48
"high_sparsity","stm",0.126,0.025,0.126,0.126,0.025,0.006,0.963,0.183,0.058,151.617,11.78,2.52
